datatime,package,pid,pss,java_heap,native_heap,system
2023-04-17 23-21-05,com.nio.pe.niopower,10899,428.53,36.86,146.23,26.56
2023-04-17 23-21-35,com.nio.pe.niopower,10899,436.99,36.0,142.46,44.66
2023-04-17 23-22-05,com.nio.pe.niopower,10899,622.21,35.99,179.34,105.07
2023-04-17 23-22-35,com.nio.pe.niopower,10899,647.29,46.53,168.26,145.58
2023-04-17 23-23-05,com.nio.pe.niopower,10899,541.06,37.16,101.6,150.53
2023-04-17 23-23-35,com.nio.pe.niopower,10899,546.76,51.95,92.77,158.63
2023-04-17 23-24-05,com.nio.pe.niopower,10899,540.82,50.64,93.03,158.35
2023-04-17 23-24-35,com.nio.pe.niopower,10899,538.91,48.91,92.35,159.02
2023-04-17 23-25-05,com.nio.pe.niopower,10899,541.2,50.86,57.69,194.01
2023-04-17 23-25-35,com.nio.pe.niopower,10899,566.63,55.67,52.16,201.83
2023-04-17 23-26-05,com.nio.pe.niopower,10899,565.74,53.85,53.55,201.35
2023-04-17 23-26-35,com.nio.pe.niopower,10899,566.89,52.62,53.91,201.21
2023-04-17 23-27-05,com.nio.pe.niopower,10899,568.31,54.42,53.77,201.15
2023-04-17 23-27-35,com.nio.pe.niopower,10899,572.94,58.68,54.0,201.15
2023-04-17 23-28-05,com.nio.pe.niopower,10899,540.74,39.57,53.63,202.08
2023-04-17 23-28-35,com.nio.pe.niopower,10899,540.87,39.0,53.46,202.58
2023-04-17 23-29-05,com.nio.pe.niopower,10899,540.13,39.25,52.36,202.57
2023-04-17 23-29-35,com.nio.pe.niopower,10899,587.37,40.39,66.51,209.22
2023-04-17 23-30-05,com.nio.pe.niopower,10899,642.29,50.21,66.41,209.0
