datetime,device_cpu_rate%,user%,system%,idle%,package,pid,pid_cpu%
2023-04-17 23-32-24,424,157,267,373,com.yiyitech.powerex,12110,0.0
2023-04-17 23-32-54,447,203,244,353,com.yiyitech.powerex,12110,97.0
2023-04-17 23-33-24,163,63,100,637,com.yiyitech.powerex,12110,25.9
2023-04-17 23-33-54,338,148,190,458,com.yiyitech.powerex,12110,119
2023-04-17 23-34-24,464,203,261,335,com.yiyitech.powerex,12110,141
2023-04-17 23-34-54,393,159,234,403,com.yiyitech.powerex,12110,125
2023-04-17 23-35-24,330,136,194,470,com.yiyitech.powerex,12110,66.6
2023-04-17 23-35-54,395,200,195,405,com.yiyitech.powerex,12110,67.5
2023-04-17 23-36-24,455,217,238,341,com.yiyitech.powerex,12110,72.4
2023-04-17 23-36-54,262,118,144,538,com.yiyitech.powerex,12110,73.5
2023-04-17 23-37-24,202,83,119,594,com.yiyitech.powerex,12110,50.0
2023-04-17 23-37-54,266,111,155,534,com.yiyitech.powerex,12110,73.6
2023-04-17 23-38-24,238,131,107,531,com.yiyitech.powerex,12110,75.5
2023-04-17 23-38-54,342,168,174,458,com.yiyitech.powerex,12110,65.7
2023-04-17 23-39-24,210,110,100,588,com.yiyitech.powerex,12110,60.9
2023-04-17 23-39-54,273,97,176,528,com.yiyitech.powerex,12110,41.3
2023-04-17 23-40-24,363,169,194,434,com.yiyitech.powerex,12110,75.0
2023-04-17 23-40-54,327,145,182,474,com.yiyitech.powerex,12110,50.0
2023-04-17 23-41-24,351,137,214,449,com.yiyitech.powerex,12110,28.5
2023-04-17 23-41-54,363,174,189,423,com.yiyitech.powerex,12110,48.5
